x, z_0, z_1, z_2
0.000000, 0.000000, 0.000000, 0.854700
0.010000, 0.000043, 0.008527, 0.850700
0.020000, 0.000170, 0.017014, 0.846700
0.030000, 0.000383, 0.025461, 0.842699
0.040000, 0.000679, 0.033868, 0.838698
0.050000, 0.001060, 0.042235, 0.834697
0.060000, 0.001524, 0.050562, 0.830695
0.070000, 0.002071, 0.058849, 0.826692
0.080000, 0.002701, 0.067096, 0.822688
0.090000, 0.003413, 0.075303, 0.818684
0.100000, 0.004207, 0.083469, 0.814678
0.110000, 0.005082, 0.091596, 0.810671
0.120000, 0.006039, 0.099683, 0.806662
0.130000, 0.007076, 0.107729, 0.802653
0.140000, 0.008193, 0.115736, 0.798642
0.150000, 0.009390, 0.123702, 0.794629
0.160000, 0.010667, 0.131628, 0.790615
0.170000, 0.012023, 0.139515, 0.786599
0.180000, 0.013457, 0.147360, 0.782581
0.190000, 0.014970, 0.155166, 0.778562
0.200000, 0.016560, 0.162932, 0.774541
0.210000, 0.018228, 0.170657, 0.770518
0.220000, 0.019973, 0.178342, 0.766493
0.230000, 0.021795, 0.185987, 0.762466
0.240000, 0.023693, 0.193591, 0.758437
0.250000, 0.025667, 0.201156, 0.754407
0.260000, 0.027716, 0.208679, 0.750374
0.270000, 0.029840, 0.216163, 0.746339
0.280000, 0.032039, 0.223606, 0.742302
0.290000, 0.034312, 0.231009, 0.738263
0.300000, 0.036659, 0.238371, 0.734222
0.310000, 0.039079, 0.245693, 0.730180
0.320000, 0.041573, 0.252975, 0.726135
0.330000, 0.044139, 0.260216, 0.722088
0.340000, 0.046777, 0.267417, 0.718039
0.350000, 0.049487, 0.274577, 0.713988
0.360000, 0.052268, 0.281697, 0.709935
0.370000, 0.055121, 0.288776, 0.705881
0.380000, 0.058044, 0.295814, 0.701824
0.390000, 0.061037, 0.302812, 0.697766
0.400000, 0.064100, 0.309769, 0.693706
0.410000, 0.067232, 0.316686, 0.689645
0.420000, 0.070433, 0.323562, 0.685581
0.430000, 0.073703, 0.330398, 0.681516
0.440000, 0.077041, 0.337193, 0.677450
0.450000, 0.080447, 0.343947, 0.673382
0.460000, 0.083920, 0.350660, 0.669313
0.470000, 0.087460, 0.357333, 0.665242
0.480000, 0.091067, 0.363965, 0.661171
0.490000, 0.094739, 0.370557, 0.657098
0.500000, 0.098478, 0.377107, 0.653024
0.510000, 0.102281, 0.383617, 0.648950
0.520000, 0.106150, 0.390086, 0.644874
0.530000, 0.110083, 0.396515, 0.640798
0.540000, 0.114080, 0.402902, 0.636721
0.550000, 0.118141, 0.409249, 0.632644
0.560000, 0.122265, 0.415555, 0.628566
0.570000, 0.126452, 0.421820, 0.624488
0.580000, 0.130701, 0.428045, 0.620410
0.590000, 0.135013, 0.434228, 0.616332
0.600000, 0.139386, 0.440371, 0.612255
0.610000, 0.143820, 0.446474, 0.608177
0.620000, 0.148315, 0.452535, 0.604100
0.630000, 0.152870, 0.458556, 0.600024
0.640000, 0.157486, 0.464535, 0.595948
0.650000, 0.162161, 0.470474, 0.591873
0.660000, 0.166895, 0.476373, 0.587799
0.670000, 0.171688, 0.482230, 0.583726
0.680000, 0.176540, 0.488047, 0.579655
0.690000, 0.181449, 0.493824, 0.575585
0.700000, 0.186416, 0.499559, 0.571517
0.710000, 0.191440, 0.505254, 0.567451
0.720000, 0.196521, 0.510908, 0.563387
0.730000, 0.201658, 0.516522, 0.559325
0.740000, 0.206851, 0.522095, 0.555266
0.750000, 0.212100, 0.527627, 0.551209
0.760000, 0.217404, 0.533119, 0.547154
0.770000, 0.222762, 0.538570, 0.543103
0.780000, 0.228175, 0.543981, 0.539055
0.790000, 0.233642, 0.549351, 0.535011
0.800000, 0.239162, 0.554681, 0.530970
0.810000, 0.244735, 0.559971, 0.526932
0.820000, 0.250361, 0.565220, 0.522899
0.830000, 0.256039, 0.570429, 0.518870
0.839999, 0.261769, 0.575597, 0.514845
0.849999, 0.267551, 0.580725, 0.510825
0.859999, 0.273384, 0.585814, 0.506810
0.869999, 0.279267, 0.590862, 0.502800
0.879999, 0.285201, 0.595870, 0.498795
0.889999, 0.291185, 0.600838, 0.494795
0.899999, 0.297218, 0.605766, 0.490801
0.909999, 0.303300, 0.610654, 0.486813
0.919999, 0.309431, 0.615502, 0.482831
0.929999, 0.315610, 0.620310, 0.478856
0.939999, 0.321837, 0.625079, 0.474887
0.949999, 0.328111, 0.629808, 0.470925
0.959999, 0.334433, 0.634498, 0.466970
0.969999, 0.340801, 0.639147, 0.463023
0.979999, 0.347215, 0.643758, 0.459082
0.989999, 0.353676, 0.648329, 0.455150
0.999999, 0.360182, 0.652861, 0.451226
1.009999, 0.366733, 0.657354, 0.447309
1.019999, 0.373329, 0.661807, 0.443402
1.029999, 0.379969, 0.666222, 0.439503
1.039999, 0.386653, 0.670597, 0.435613
1.049999, 0.393381, 0.674934, 0.431732
1.059999, 0.400152, 0.679232, 0.427860
1.069999, 0.406965, 0.683491, 0.423999
1.079999, 0.413821, 0.687712, 0.420147
1.089999, 0.420719, 0.691894, 0.416305
1.099999, 0.427659, 0.696038, 0.412473
1.109999, 0.434640, 0.700144, 0.408653
1.119999, 0.441662, 0.704211, 0.404843
1.129999, 0.448724, 0.708241, 0.401044
1.139999, 0.455827, 0.712232, 0.397257
1.149999, 0.462969, 0.716186, 0.393481
1.159999, 0.470150, 0.720102, 0.389717
1.169999, 0.477371, 0.723980, 0.385965
1.179999, 0.484630, 0.727821, 0.382225
1.189999, 0.491927, 0.731625, 0.378498
1.199999, 0.499262, 0.735391, 0.374783
1.209999, 0.506635, 0.739120, 0.371082
1.219999, 0.514044, 0.742813, 0.367394
1.229999, 0.521491, 0.746468, 0.363719
1.239999, 0.528974, 0.750087, 0.360058
1.249999, 0.536492, 0.753670, 0.356411
1.259999, 0.544047, 0.757216, 0.352778
1.269999, 0.551637, 0.760725, 0.349160
1.279999, 0.559261, 0.764199, 0.345556
1.289999, 0.566920, 0.767636, 0.341966
1.299999, 0.574614, 0.771038, 0.338392
1.309999, 0.582341, 0.774404, 0.334834
1.319999, 0.590102, 0.777735, 0.331290
1.329999, 0.597896, 0.781030, 0.327763
1.339999, 0.605722, 0.784290, 0.324251
1.349999, 0.613581, 0.787515, 0.320756
1.359999, 0.621472, 0.790705, 0.317276
1.369999, 0.629395, 0.793861, 0.313814
1.379999, 0.637350, 0.796982, 0.310368
1.389999, 0.645335, 0.800068, 0.306939
1.399999, 0.653351, 0.803121, 0.303527
1.409999, 0.661397, 0.806139, 0.300133
1.419999, 0.669473, 0.809123, 0.296756
1.429999, 0.677579, 0.812074, 0.293397
1.439999, 0.685715, 0.814991, 0.290056
1.449999, 0.693879, 0.817875, 0.286733
1.459999, 0.702072, 0.820726, 0.283428
1.469999, 0.710294, 0.823544, 0.280142
1.479999, 0.718543, 0.826329, 0.276874
1.489999, 0.726820, 0.829081, 0.273626
1.499999, 0.735124, 0.831801, 0.270396
1.509999, 0.743456, 0.834489, 0.267185
1.519999, 0.751814, 0.837145, 0.263994
1.529999, 0.760199, 0.839769, 0.260822
1.539999, 0.768609, 0.842362, 0.257670
1.549999, 0.777046, 0.844923, 0.254538
1.559999, 0.785508, 0.847452, 0.251426
1.569999, 0.793995, 0.849951, 0.248334
1.579999, 0.802507, 0.852419, 0.245262
1.589999, 0.811043, 0.854857, 0.242210
1.599999, 0.819604, 0.857264, 0.239179
1.609999, 0.828188, 0.859640, 0.236169
1.619999, 0.836796, 0.861987, 0.233179
1.629999, 0.845428, 0.864304, 0.230210
1.639999, 0.854082, 0.866591, 0.227263
1.649999, 0.862760, 0.868849, 0.224336
1.659999, 0.871459, 0.871078, 0.221431
1.669999, 0.880181, 0.873278, 0.218547
1.679999, 0.888925, 0.875449, 0.215685
1.689999, 0.897690, 0.877592, 0.212844
1.699999, 0.906476, 0.879706, 0.210025
1.709999, 0.915284, 0.881792, 0.207227
1.719999, 0.924112, 0.883851, 0.204452
1.729999, 0.932961, 0.885881, 0.201698
1.739999, 0.941830, 0.887885, 0.198967
1.749999, 0.950718, 0.889861, 0.196257
1.759999, 0.959627, 0.891810, 0.193570
1.769999, 0.968555, 0.893732, 0.190905
1.779999, 0.977501, 0.895628, 0.188262
1.789999, 0.986467, 0.897498, 0.185641
1.799999, 0.995451, 0.899341, 0.183043
1.809999, 1.004454, 0.901158, 0.180468
1.819999, 1.013474, 0.902950, 0.177915
1.829999, 1.022513, 0.904717, 0.175384
1.839999, 1.031569, 0.906458, 0.172876
1.849999, 1.040642, 0.908174, 0.170391
1.859999, 1.049732, 0.909866, 0.167928
1.869999, 1.058839, 0.911533, 0.165488
1.879999, 1.067962, 0.913176, 0.163071
1.889999, 1.077102, 0.914795, 0.160676
1.899999, 1.086258, 0.916390, 0.158304
1.909999, 1.095430, 0.917961, 0.155955
1.919999, 1.104617, 0.919509, 0.153629
1.929999, 1.113820, 0.921033, 0.151325
1.939999, 1.123038, 0.922535, 0.149044
1.949998, 1.132271, 0.924014, 0.146786
1.959998, 1.141518, 0.925471, 0.144550
1.969998, 1.150780, 0.926906, 0.142338
1.979998, 1.160056, 0.928318, 0.140148
1.989998, 1.169346, 0.929709, 0.137980
1.999998, 1.178650, 0.931078, 0.135836
2.009999, 1.187968, 0.932425, 0.133714
2.019999, 1.197299, 0.933752, 0.131614
2.029999, 1.206643, 0.935058, 0.129537
2.039999, 1.216000, 0.936343, 0.127483
2.049999, 1.225369, 0.937607, 0.125451
2.059999, 1.234752, 0.938852, 0.123441
2.069999, 1.244146, 0.940076, 0.121454
2.079998, 1.253553, 0.941281, 0.119489
2.089998, 1.262972, 0.942466, 0.117546
2.099998, 1.272402, 0.943632, 0.115626
2.109998, 1.281844, 0.944779, 0.113727
2.119998, 1.291298, 0.945907, 0.111851
2.129998, 1.300763, 0.947016, 0.109996
2.139998, 1.310238, 0.948107, 0.108164
2.149998, 1.319725, 0.949179, 0.106353
2.159998, 1.329222, 0.950234, 0.104564
2.169998, 1.338729, 0.951271, 0.102797
2.179998, 1.348247, 0.952290, 0.101051
2.189998, 1.357775, 0.953292, 0.099327
2.199998, 1.367313, 0.954276, 0.097624
2.209998, 1.376860, 0.955244, 0.095942
2.219998, 1.386418, 0.956195, 0.094282
2.229998, 1.395984, 0.957130, 0.092643
2.239998, 1.405560, 0.958048, 0.091024
2.249998, 1.415145, 0.958951, 0.089427
2.259998, 1.424739, 0.959837, 0.087850
2.269998, 1.434342, 0.960708, 0.086294
2.279998, 1.443953, 0.961563, 0.084758
2.289998, 1.453573, 0.962403, 0.083243
2.299998, 1.463201, 0.963228, 0.081748
2.309998, 1.472838, 0.964038, 0.080273
2.319998, 1.482482, 0.964833, 0.078818
2.329998, 1.492134, 0.965614, 0.077383
2.339998, 1.501794, 0.966381, 0.075968
2.349998, 1.511462, 0.967134, 0.074572
2.359998, 1.521137, 0.967873, 0.073196
2.369998, 1.530819, 0.968598, 0.071840
2.379998, 1.540509, 0.969309, 0.070502
2.389998, 1.550205, 0.970008, 0.069184
2.399998, 1.559909, 0.970693, 0.067885
2.409998, 1.569619, 0.971366, 0.066604
2.419998, 1.579336, 0.972025, 0.065342
2.429998, 1.589060, 0.972672, 0.064099
2.439998, 1.598790, 0.973307, 0.062874
2.449998, 1.608526, 0.973930, 0.061667
2.459998, 1.618268, 0.974541, 0.060478
2.469998, 1.628017, 0.975140, 0.059307
2.479998, 1.637771, 0.975727, 0.058154
2.489998, 1.647531, 0.976303, 0.057019
2.499998, 1.657297, 0.976867, 0.055901
2.509998, 1.667068, 0.977421, 0.054800
2.519998, 1.676845, 0.977963, 0.053716
2.529998, 1.686628, 0.978495, 0.052650
2.539998, 1.696415, 0.979016, 0.051600
2.549998, 1.706208, 0.979527, 0.050567
2.559998, 1.716006, 0.980028, 0.049550
2.569998, 1.725809, 0.980518, 0.048550
2.579998, 1.735616, 0.980999, 0.047566
2.589998, 1.745428, 0.981470, 0.046597
2.599998, 1.755245, 0.981931, 0.045645
2.609998, 1.765067, 0.982383, 0.044708
2.619998, 1.774893, 0.982825, 0.043787
2.629998, 1.784724, 0.983258, 0.042882
2.639998, 1.794558, 0.983683, 0.041991
2.649998, 1.804397, 0.984098, 0.041115
2.659998, 1.814240, 0.984505, 0.040255
2.669998, 1.824087, 0.984903, 0.039409
2.679998, 1.833938, 0.985293, 0.038577
2.689998, 1.843793, 0.985675, 0.037760
2.699998, 1.853652, 0.986048, 0.036957
2.709998, 1.863514, 0.986414, 0.036168
