x, z_0, z_1, z_2
0.000000, 0.000000, 0.000000, 0.469507
0.010000, 0.000023, 0.004695, 0.469507
0.020000, 0.000094, 0.009390, 0.469507
0.030000, 0.000211, 0.014085, 0.469506
0.040000, 0.000376, 0.018780, 0.469504
0.050000, 0.000587, 0.023475, 0.469502
0.060000, 0.000845, 0.028170, 0.469499
0.070000, 0.001150, 0.032865, 0.469494
0.080000, 0.001502, 0.037560, 0.469488
0.090000, 0.001901, 0.042255, 0.469480
0.100000, 0.002348, 0.046950, 0.469470
0.110000, 0.002840, 0.051644, 0.469458
0.120000, 0.003380, 0.056339, 0.469443
0.130000, 0.003967, 0.061033, 0.469426
0.140000, 0.004601, 0.065727, 0.469406
0.150000, 0.005282, 0.070421, 0.469383
0.160000, 0.006009, 0.075115, 0.469356
0.170000, 0.006784, 0.079808, 0.469326
0.180000, 0.007606, 0.084502, 0.469293
0.190000, 0.008474, 0.089194, 0.469255
0.200000, 0.009390, 0.093887, 0.469213
0.210000, 0.010352, 0.098579, 0.469167
0.220000, 0.011361, 0.103270, 0.469116
0.230000, 0.012417, 0.107961, 0.469060
0.240000, 0.013520, 0.112651, 0.468999
0.250000, 0.014670, 0.117341, 0.468933
0.260000, 0.015867, 0.122030, 0.468862
0.270000, 0.017111, 0.126718, 0.468784
0.280000, 0.018402, 0.131405, 0.468701
0.290000, 0.019739, 0.136092, 0.468612
0.300000, 0.021123, 0.140778, 0.468516
0.310000, 0.022555, 0.145462, 0.468414
0.320000, 0.024033, 0.150146, 0.468305
0.330000, 0.025557, 0.154828, 0.468189
0.340000, 0.027129, 0.159510, 0.468065
0.350000, 0.028748, 0.164190, 0.467935
0.360000, 0.030413, 0.168868, 0.467796
0.370000, 0.032125, 0.173546, 0.467650
0.380000, 0.033884, 0.178221, 0.467496
0.390000, 0.035689, 0.182895, 0.467333
0.400000, 0.037542, 0.187568, 0.467162
0.410000, 0.039441, 0.192239, 0.466982
0.420000, 0.041387, 0.196908, 0.466794
0.430000, 0.043379, 0.201575, 0.466596
0.440000, 0.045418, 0.206239, 0.466389
0.450000, 0.047504, 0.210902, 0.466172
0.460000, 0.049636, 0.215563, 0.465946
0.470000, 0.051815, 0.220221, 0.465709
0.480000, 0.054040, 0.224877, 0.465463
0.490000, 0.056312, 0.229530, 0.465206
0.500000, 0.058631, 0.234181, 0.464939
0.510000, 0.060996, 0.238829, 0.464661
0.520000, 0.063408, 0.243474, 0.464372
0.530000, 0.065866, 0.248117, 0.464072
0.540000, 0.068370, 0.252756, 0.463761
0.550000, 0.070921, 0.257392, 0.463438
0.560000, 0.073518, 0.262024, 0.463103
0.570000, 0.076161, 0.266654, 0.462757
0.580000, 0.078851, 0.271280, 0.462398
0.590000, 0.081587, 0.275902, 0.462028
0.600000, 0.084369, 0.280520, 0.461644
0.610000, 0.087197, 0.285134, 0.461249
0.620000, 0.090072, 0.289745, 0.460840
0.630000, 0.092992, 0.294351, 0.460418
0.640000, 0.095959, 0.298953, 0.459984
0.650000, 0.098971, 0.303551, 0.459536
0.660000, 0.102030, 0.308144, 0.459074
0.670000, 0.105134, 0.312732, 0.458599
0.680000, 0.108284, 0.317316, 0.458110
0.690000, 0.111480, 0.321894, 0.457606
0.700000, 0.114722, 0.326468, 0.457089
0.710000, 0.118010, 0.331036, 0.456558
0.720000, 0.121343, 0.335599, 0.456012
0.730000, 0.124722, 0.340156, 0.455451
0.740000, 0.128146, 0.344708, 0.454876
0.750000, 0.131616, 0.349254, 0.454285
0.760000, 0.135131, 0.353794, 0.453680
0.770000, 0.138692, 0.358327, 0.453059
0.780000, 0.142297, 0.362855, 0.452423
