x, z_0, z_1, z_2
0.000000, 0.000000, 0.000000, 0.638354
0.010000, 0.000032, 0.006376, 0.636854
0.020000, 0.000127, 0.012737, 0.635354
0.030000, 0.000287, 0.019083, 0.633853
0.040000, 0.000509, 0.025414, 0.632351
0.050000, 0.000795, 0.031730, 0.630849
0.060000, 0.001144, 0.038031, 0.629344
0.070000, 0.001555, 0.044317, 0.627838
0.080000, 0.002030, 0.050588, 0.626331
0.090000, 0.002567, 0.056844, 0.624821
0.100000, 0.003167, 0.063084, 0.623308
0.110000, 0.003829, 0.069310, 0.621793
0.120000, 0.004553, 0.075520, 0.620275
0.130000, 0.005339, 0.081715, 0.618753
0.140000, 0.006187, 0.087895, 0.617229
0.150000, 0.007097, 0.094060, 0.615700
0.160000, 0.008068, 0.100209, 0.614168
0.170000, 0.009101, 0.106343, 0.612631
0.180000, 0.010195, 0.112462, 0.611090
0.190000, 0.011350, 0.118565, 0.609544
0.200000, 0.012566, 0.124653, 0.607994
0.210000, 0.013843, 0.130725, 0.606438
0.220000, 0.015181, 0.136781, 0.604877
0.230000, 0.016579, 0.142822, 0.603311
0.240000, 0.018037, 0.148848, 0.601738
0.250000, 0.019556, 0.154857, 0.600160
0.260000, 0.021134, 0.160851, 0.598575
0.270000, 0.022773, 0.166829, 0.596984
0.280000, 0.024471, 0.172790, 0.595387
0.290000, 0.026228, 0.178736, 0.593783
0.300000, 0.028045, 0.184666, 0.592171
0.310000, 0.029922, 0.190580, 0.590553
0.320000, 0.031857, 0.196477, 0.588927
0.330000, 0.033851, 0.202358, 0.587293
0.340000, 0.035904, 0.208223, 0.585652
0.350000, 0.038016, 0.214071, 0.584003
0.360000, 0.040185, 0.219903, 0.582345
0.370000, 0.042414, 0.225718, 0.580680
0.380000, 0.044700, 0.231516, 0.579005
0.390000, 0.047044, 0.237298, 0.577323
0.400000, 0.049446, 0.243063, 0.575631
0.410000, 0.051905, 0.248811, 0.573931
0.420000, 0.054422, 0.254542, 0.572221
0.430000, 0.056996, 0.260255, 0.570502
0.440000, 0.059627, 0.265952, 0.568774
0.450000, 0.062315, 0.271631, 0.567036
0.460000, 0.065059, 0.277292, 0.565288
0.470000, 0.067861, 0.282936, 0.563531
0.480000, 0.070718, 0.288563, 0.561764
0.490000, 0.073632, 0.294172, 0.559986
0.500000, 0.076601, 0.299763, 0.558199
0.510000, 0.079627, 0.305336, 0.556401
0.520000, 0.082708, 0.310890, 0.554592
0.530000, 0.085845, 0.316427, 0.552773
0.540000, 0.089037, 0.321946, 0.550943
