x, z_0, z_1, z_2
0.000000, 0.000000, 0.000000, 0.586939
0.010000, 0.000029, 0.005864, 0.585938
0.020000, 0.000117, 0.011719, 0.584938
0.030000, 0.000264, 0.017563, 0.583937
0.040000, 0.000468, 0.023398, 0.582936
0.050000, 0.000732, 0.029222, 0.581933
0.060000, 0.001053, 0.035036, 0.580929
0.070000, 0.001432, 0.040840, 0.579923
0.080000, 0.001870, 0.046635, 0.578915
0.090000, 0.002365, 0.052419, 0.577906
0.100000, 0.002918, 0.058193, 0.576893
0.110000, 0.003529, 0.063957, 0.575879
0.120000, 0.004197, 0.069710, 0.574861
0.130000, 0.004923, 0.075454, 0.573840
0.140000, 0.005706, 0.081187, 0.572816
0.150000, 0.006547, 0.086910, 0.571788
0.160000, 0.007444, 0.092623, 0.570756
0.170000, 0.008399, 0.098325, 0.569720
0.180000, 0.009411, 0.104017, 0.568679
0.190000, 0.010479, 0.109699, 0.567634
0.200000, 0.011605, 0.115370, 0.566584
0.210000, 0.012787, 0.121030, 0.565529
0.220000, 0.014025, 0.126680, 0.564469
0.230000, 0.015320, 0.132320, 0.563403
0.240000, 0.016672, 0.137948, 0.562331
0.250000, 0.018079, 0.143566, 0.561253
0.260000, 0.019543, 0.149173, 0.560169
0.270000, 0.021063, 0.154770, 0.559079
0.280000, 0.022638, 0.160355, 0.557982
0.290000, 0.024270, 0.165929, 0.556878
0.300000, 0.025957, 0.171493, 0.555766
0.310000, 0.027700, 0.177045, 0.554648
0.320000, 0.029498, 0.182586, 0.553522
0.330000, 0.031351, 0.188115, 0.552388
0.340000, 0.033260, 0.193633, 0.551246
0.350000, 0.035224, 0.199140, 0.550096
0.360000, 0.037243, 0.204635, 0.548938
0.370000, 0.039317, 0.210119, 0.547771
0.380000, 0.041445, 0.215591, 0.546595
0.390000, 0.043628, 0.221051, 0.545411
0.400000, 0.045866, 0.226499, 0.544217
0.410000, 0.048158, 0.231935, 0.543014
0.420000, 0.050505, 0.237359, 0.541802
0.430000, 0.052905, 0.242771, 0.540579
0.440000, 0.055360, 0.248171, 0.539347
0.450000, 0.057869, 0.253558, 0.538105
0.460000, 0.060431, 0.258933, 0.536853
0.470000, 0.063047, 0.264295, 0.535591
0.480000, 0.065717, 0.269644, 0.534317
0.490000, 0.068440, 0.274981, 0.533034
0.500000, 0.071217, 0.280305, 0.531739
0.510000, 0.074046, 0.285616, 0.530433
0.520000, 0.076929, 0.290914, 0.529117
0.530000, 0.079864, 0.296198, 0.527788
0.540000, 0.082853, 0.301469, 0.526449
0.550000, 0.085894, 0.306727, 0.525098
0.560000, 0.088987, 0.311971, 0.523735
0.570000, 0.092133, 0.317202, 0.522360
0.580000, 0.095331, 0.322418, 0.520974
0.590000, 0.098581, 0.327621, 0.519575
0.600000, 0.101884, 0.332810, 0.518164
0.610000, 0.105238, 0.337984, 0.516741
0.620000, 0.108643, 0.343145, 0.515305
0.630000, 0.112100, 0.348290, 0.513856
0.640000, 0.115609, 0.353422, 0.512395
0.650000, 0.119169, 0.358538, 0.510921
0.660000, 0.122780, 0.363640, 0.509435
0.670000, 0.126442, 0.368727, 0.507935
0.680000, 0.130154, 0.373799, 0.506422
0.690000, 0.133918, 0.378855, 0.504896
0.700000, 0.137731, 0.383897, 0.503357
0.710000, 0.141595, 0.388922, 0.501804
0.720000, 0.145510, 0.393933, 0.500238
0.730000, 0.149474, 0.398927, 0.498659
0.740000, 0.153488, 0.403906, 0.497066
0.750000, 0.157552, 0.408868, 0.495459
0.760000, 0.161666, 0.413815, 0.493839
0.770000, 0.165828, 0.418745, 0.492205
0.780000, 0.170040, 0.423659, 0.490557
0.790000, 0.174301, 0.428556, 0.488895
0.800000, 0.178611, 0.433437, 0.487220
0.810000, 0.182970, 0.438301, 0.485531
0.820000, 0.187377, 0.443147, 0.483827
0.830000, 0.191833, 0.447977, 0.482110
0.839999, 0.196337, 0.452789, 0.480379
0.849999, 0.200889, 0.457585, 0.478634
0.859999, 0.205489, 0.462362, 0.476875
0.869999, 0.210136, 0.467122, 0.475102
0.879999, 0.214831, 0.471864, 0.473315
0.889999, 0.219573, 0.476588, 0.471513
0.899999, 0.224363, 0.481294, 0.469698
0.909999, 0.229199, 0.485982, 0.467869
0.919999, 0.234082, 0.490652, 0.466026
0.929999, 0.239012, 0.495303, 0.464169
0.939999, 0.243988, 0.499935, 0.462298
0.949999, 0.249011, 0.504549, 0.460413
0.959999, 0.254079, 0.509143, 0.458514
0.969999, 0.259193, 0.513719, 0.456601
0.979999, 0.264353, 0.518275, 0.454675
0.989999, 0.269559, 0.522812, 0.452735
0.999999, 0.274810, 0.527330, 0.450781
1.009999, 0.280105, 0.531828, 0.448813
1.019999, 0.285446, 0.536306, 0.446832
1.029999, 0.290831, 0.540764, 0.444838
1.039999, 0.296261, 0.545203, 0.442830
1.049999, 0.301735, 0.549621, 0.440808
1.059999, 0.307254, 0.554019, 0.438774
1.069999, 0.312816, 0.558396, 0.436726
1.079999, 0.318422, 0.562753, 0.434665
1.089999, 0.324071, 0.567090, 0.432591
1.099999, 0.329763, 0.571405, 0.430504
1.109999, 0.335499, 0.575700, 0.428405
1.119999, 0.341277, 0.579973, 0.426293
1.129999, 0.347098, 0.584226, 0.424168
1.139999, 0.352962, 0.588457, 0.422031
1.149999, 0.358867, 0.592666, 0.419881
1.159999, 0.364815, 0.596854, 0.417720
1.169999, 0.370804, 0.601020, 0.415546
1.179999, 0.376835, 0.605165, 0.413360
1.189999, 0.382907, 0.609288, 0.411163
1.199999, 0.389021, 0.613388, 0.408954
1.209999, 0.395175, 0.617467, 0.406734
1.219999, 0.401370, 0.621523, 0.404502
1.229999, 0.407606, 0.625557, 0.402259
1.239999, 0.413881, 0.629568, 0.400006
1.249999, 0.420197, 0.633557, 0.397741
1.259999, 0.426552, 0.637523, 0.395466
1.269999, 0.432947, 0.641466, 0.393180
1.279999, 0.439382, 0.645386, 0.390884
1.289999, 0.445855, 0.649284, 0.388578
1.299999, 0.452367, 0.653158, 0.386263
1.309999, 0.458918, 0.657009, 0.383937
1.319999, 0.465507, 0.660837, 0.381602
1.329999, 0.472135, 0.664641, 0.379258
1.339999, 0.478800, 0.668422, 0.376904
1.349999, 0.485503, 0.672179, 0.374542
1.359999, 0.492243, 0.675913, 0.372171
1.369999, 0.499021, 0.679622, 0.369792
1.379999, 0.505836, 0.683308, 0.367405
1.389999, 0.512687, 0.686971, 0.365009
1.399999, 0.519575, 0.690609, 0.362606
1.409999, 0.526499, 0.694223, 0.360195
1.419999, 0.533460, 0.697812, 0.357777
1.429999, 0.540456, 0.701378, 0.355352
1.439999, 0.547487, 0.704920, 0.352920
1.449999, 0.554554, 0.708437, 0.350481
1.459999, 0.561656, 0.711929, 0.348036
1.469999, 0.568792, 0.715397, 0.345586
1.479999, 0.575963, 0.718841, 0.343129
1.489999, 0.583169, 0.722260, 0.340667
1.499999, 0.590409, 0.725654, 0.338199
1.509999, 0.597682, 0.729024, 0.335726
1.519999, 0.604989, 0.732369, 0.333249
1.529999, 0.612329, 0.735689, 0.330767
1.539999, 0.619703, 0.738984, 0.328281
1.549999, 0.627109, 0.742254, 0.325790
1.559999, 0.634548, 0.745500, 0.323296
1.569999, 0.642019, 0.748720, 0.320799
1.579999, 0.649522, 0.751916, 0.318299
1.589999, 0.657057, 0.755086, 0.315795
1.599999, 0.664624, 0.758232, 0.313289
1.609999, 0.672222, 0.761352, 0.310781
1.619999, 0.679851, 0.764447, 0.308270
1.629999, 0.687511, 0.767517, 0.305758
1.639999, 0.695201, 0.770562, 0.303244
1.649999, 0.702922, 0.773582, 0.300729
1.659999, 0.710673, 0.776577, 0.298213
1.669999, 0.718453, 0.779547, 0.295697
1.679999, 0.726263, 0.782491, 0.293180
1.689999, 0.734103, 0.785410, 0.290663
1.699999, 0.741972, 0.788304, 0.288146
1.709999, 0.749869, 0.791173, 0.285630
1.719999, 0.757795, 0.794017, 0.283115
1.729999, 0.765749, 0.796835, 0.280600
1.739999, 0.773732, 0.799629, 0.278087
1.749999, 0.781742, 0.802397, 0.275576
1.759999, 0.789779, 0.805140, 0.273066
1.769999, 0.797844, 0.807859, 0.270559
1.779999, 0.805937, 0.810552, 0.268054
1.789999, 0.814055, 0.813220, 0.265552
1.799999, 0.822201, 0.815863, 0.263054
1.809999, 0.830373, 0.818481, 0.260558
1.819999, 0.838570, 0.821074, 0.258066
1.829999, 0.846794, 0.823642, 0.255578
