x, z_0, z_1, z_2
0.000000, 0.000000, 0.000000, 0.531079
0.010000, 0.000027, 0.005308, 0.530579
0.020000, 0.000106, 0.010612, 0.530079
0.030000, 0.000239, 0.015910, 0.529578
0.040000, 0.000424, 0.021203, 0.529076
0.050000, 0.000663, 0.026491, 0.528574
0.060000, 0.000954, 0.031775, 0.528070
0.070000, 0.001298, 0.037053, 0.527565
0.080000, 0.001695, 0.042326, 0.527058
0.090000, 0.002145, 0.047594, 0.526549
0.100000, 0.002647, 0.052857, 0.526037
0.110000, 0.003202, 0.058115, 0.525523
0.120000, 0.003809, 0.063367, 0.525007
0.130000, 0.004469, 0.068615, 0.524487
0.140000, 0.005182, 0.073857, 0.523965
0.150000, 0.005946, 0.079094, 0.523438
0.160000, 0.006763, 0.084326, 0.522909
0.170000, 0.007633, 0.089552, 0.522375
0.180000, 0.008554, 0.094773, 0.521837
0.190000, 0.009528, 0.099989, 0.521294
0.200000, 0.010554, 0.105199, 0.520747
0.210000, 0.011632, 0.110404, 0.520195
0.220000, 0.012762, 0.115603, 0.519638
0.230000, 0.013944, 0.120797, 0.519076
0.240000, 0.015178, 0.125985, 0.518508
0.250000, 0.016464, 0.131167, 0.517934
0.260000, 0.017802, 0.136343, 0.517355
0.270000, 0.019191, 0.141514, 0.516769
0.280000, 0.020632, 0.146679, 0.516176
0.290000, 0.022124, 0.151837, 0.515577
0.300000, 0.023669, 0.156990, 0.514971
0.310000, 0.025264, 0.162137, 0.514358
0.320000, 0.026911, 0.167277, 0.513737
0.330000, 0.028610, 0.172411, 0.513109
0.340000, 0.030359, 0.177539, 0.512474
0.350000, 0.032160, 0.182661, 0.511830
0.360000, 0.034013, 0.187776, 0.511178
0.370000, 0.035916, 0.192884, 0.510517
0.380000, 0.037870, 0.197986, 0.509848
0.390000, 0.039876, 0.203081, 0.509170
0.400000, 0.041932, 0.208170, 0.508483
0.410000, 0.044039, 0.213251, 0.507787
0.420000, 0.046197, 0.218325, 0.507081
0.430000, 0.048405, 0.223393, 0.506366
0.440000, 0.050665, 0.228453, 0.505641
0.450000, 0.052975, 0.233505, 0.504906
0.460000, 0.055335, 0.238551, 0.504160
0.470000, 0.057746, 0.243589, 0.503405
0.480000, 0.060207, 0.248619, 0.502638
0.490000, 0.062718, 0.253641, 0.501861
0.500000, 0.065279, 0.258656, 0.501073
0.510000, 0.067891, 0.263663, 0.500274
0.520000, 0.070553, 0.268661, 0.499463
0.530000, 0.073264, 0.273652, 0.498641
0.540000, 0.076026, 0.278634, 0.497808
0.550000, 0.078837, 0.283608, 0.496962
0.560000, 0.081698, 0.288573, 0.496104
