x, z_0, z_1, z_2
0.000000, 0.000000, 0.000000, 0.686597
0.010000, 0.000034, 0.006856, 0.684597
0.020000, 0.000137, 0.013692, 0.682596
0.030000, 0.000308, 0.020508, 0.680595
0.040000, 0.000547, 0.027304, 0.678594
0.050000, 0.000854, 0.034080, 0.676591
0.060000, 0.001229, 0.040836, 0.674587
0.070000, 0.001671, 0.047571, 0.672581
0.080000, 0.002180, 0.054287, 0.670573
0.090000, 0.002756, 0.060983, 0.668563
0.100000, 0.003400, 0.067659, 0.666551
0.110000, 0.004110, 0.074314, 0.664536
0.120000, 0.004886, 0.080949, 0.662519
0.130000, 0.005728, 0.087564, 0.660498
0.140000, 0.006637, 0.094159, 0.658473
0.150000, 0.007612, 0.100734, 0.656446
0.160000, 0.008652, 0.107288, 0.654414
0.170000, 0.009757, 0.113822, 0.652378
0.180000, 0.010928, 0.120336, 0.650338
0.190000, 0.012164, 0.126829, 0.648294
0.200000, 0.013465, 0.133301, 0.646245
0.210000, 0.014830, 0.139754, 0.644191
0.220000, 0.016260, 0.146185, 0.642132
0.230000, 0.017753, 0.152596, 0.640068
0.240000, 0.019311, 0.158987, 0.637998
0.250000, 0.020933, 0.165356, 0.635922
0.260000, 0.022618, 0.171705, 0.633841
0.270000, 0.024367, 0.178033, 0.631753
0.280000, 0.026179, 0.184340, 0.629660
0.290000, 0.028054, 0.190626, 0.627560
0.300000, 0.029992, 0.196891, 0.625453
0.310000, 0.031992, 0.203135, 0.623339
0.320000, 0.034054, 0.209358, 0.621219
0.330000, 0.036179, 0.215560, 0.619092
0.340000, 0.038365, 0.221740, 0.616957
0.350000, 0.040613, 0.227899, 0.614815
0.360000, 0.042923, 0.234036, 0.612665
0.370000, 0.045294, 0.240152, 0.610508
0.380000, 0.047726, 0.246246, 0.608343
0.390000, 0.050219, 0.252319, 0.606170
0.400000, 0.052772, 0.258370, 0.603988
0.410000, 0.055386, 0.264399, 0.601799
0.420000, 0.058060, 0.270406, 0.599601
0.430000, 0.060794, 0.276391, 0.597395
0.440000, 0.063588, 0.282353, 0.595181
0.450000, 0.066441, 0.288294, 0.592957
0.460000, 0.069354, 0.294213, 0.590725
0.470000, 0.072326, 0.300109, 0.588484
0.480000, 0.075356, 0.305982, 0.586234
0.490000, 0.078445, 0.311833, 0.583975
0.500000, 0.081593, 0.317662, 0.581707
0.510000, 0.084798, 0.323467, 0.579429
0.520000, 0.088062, 0.329250, 0.577143
0.530000, 0.091383, 0.335010, 0.574847
0.540000, 0.094762, 0.340747, 0.572541
0.550000, 0.098198, 0.346461, 0.570226
0.560000, 0.101691, 0.352152, 0.567901
0.570000, 0.105241, 0.357819, 0.565567
0.580000, 0.108847, 0.363463, 0.563223
0.590000, 0.112510, 0.369083, 0.560869
0.600000, 0.116229, 0.374680, 0.558506
0.610000, 0.120004, 0.380253, 0.556132
0.620000, 0.123834, 0.385803, 0.553749
0.630000, 0.127720, 0.391328, 0.551356
0.640000, 0.131660, 0.396830, 0.548953
0.650000, 0.135656, 0.402307, 0.546541
0.660000, 0.139707, 0.407761, 0.544118
0.670000, 0.143811, 0.413190, 0.541685
0.680000, 0.147970, 0.418594, 0.539243
0.690000, 0.152183, 0.423975, 0.536790
0.700000, 0.156450, 0.429330, 0.534328
