x, z_0, z_1, z_2
0.000000, 0.000000, 0.000000, 0.774963
0.010000, 0.000039, 0.007735, 0.771963
0.020000, 0.000155, 0.015439, 0.768963
0.030000, 0.000347, 0.023114, 0.765962
0.040000, 0.000617, 0.030759, 0.762961
0.050000, 0.000962, 0.038373, 0.759959
0.060000, 0.001384, 0.045958, 0.756955
0.070000, 0.001882, 0.053512, 0.753950
0.080000, 0.002454, 0.061037, 0.750944
0.090000, 0.003102, 0.068531, 0.747936
0.100000, 0.003825, 0.075995, 0.744926
0.110000, 0.004622, 0.083430, 0.741913
0.120000, 0.005493, 0.090834, 0.738899
0.130000, 0.006439, 0.098208, 0.735882
0.140000, 0.007457, 0.105551, 0.732862
0.150000, 0.008549, 0.112865, 0.729839
0.160000, 0.009715, 0.120148, 0.726813
0.170000, 0.010952, 0.127401, 0.723784
0.180000, 0.012262, 0.134624, 0.720752
0.190000, 0.013645, 0.141816, 0.717716
0.200000, 0.015099, 0.148978, 0.714677
0.210000, 0.016624, 0.156110, 0.711634
0.220000, 0.018221, 0.163211, 0.708587
0.230000, 0.019888, 0.170281, 0.705535
0.240000, 0.021626, 0.177321, 0.702480
0.250000, 0.023435, 0.184331, 0.699420
0.260000, 0.025313, 0.191310, 0.696356
0.270000, 0.027261, 0.198258, 0.693287
0.280000, 0.029278, 0.205175, 0.690214
0.290000, 0.031364, 0.212062, 0.687136
0.300000, 0.033519, 0.218918, 0.684052
0.310000, 0.035742, 0.225743, 0.680964
0.320000, 0.038034, 0.232537, 0.677871
0.330000, 0.040393, 0.239301, 0.674773
0.340000, 0.042820, 0.246033, 0.671670
0.350000, 0.045314, 0.252734, 0.668561
0.360000, 0.047874, 0.259404, 0.665447
0.370000, 0.050502, 0.266043, 0.662328
0.380000, 0.053195, 0.272651, 0.659203
0.390000, 0.055954, 0.279227, 0.656072
0.400000, 0.058779, 0.285772, 0.652936
0.410000, 0.061670, 0.292286, 0.649795
0.420000, 0.064625, 0.298768, 0.646648
0.430000, 0.067645, 0.305219, 0.643495
0.440000, 0.070729, 0.311638, 0.640336
0.450000, 0.073878, 0.318025, 0.637172
0.460000, 0.077090, 0.324381, 0.634001
0.470000, 0.080365, 0.330705, 0.630825
0.480000, 0.083704, 0.336998, 0.627644
0.490000, 0.087105, 0.343258, 0.624456
0.500000, 0.090569, 0.349487, 0.621263
0.510000, 0.094095, 0.355683, 0.618064
0.520000, 0.097682, 0.361848, 0.614859
0.530000, 0.101332, 0.367981, 0.611648
0.540000, 0.105042, 0.374081, 0.608432
0.550000, 0.108813, 0.380149, 0.605209
0.560000, 0.112645, 0.386185, 0.601982
0.570000, 0.116537, 0.392189, 0.598748
0.580000, 0.120488, 0.398160, 0.595509
0.590000, 0.124500, 0.404099, 0.592264
0.600000, 0.128570, 0.410005, 0.589014
0.610000, 0.132700, 0.415879, 0.585758
0.620000, 0.136888, 0.421721, 0.582497
0.630000, 0.141134, 0.427529, 0.579231
0.640000, 0.145438, 0.433305, 0.575959
0.650000, 0.149800, 0.439048, 0.572682
0.660000, 0.154219, 0.444759, 0.569400
0.670000, 0.158695, 0.450436, 0.566112
0.680000, 0.163228, 0.456081, 0.562820
0.690000, 0.167817, 0.461693, 0.559523
0.700000, 0.172461, 0.467271, 0.556221
0.710000, 0.177162, 0.472817, 0.552915
0.720000, 0.181918, 0.478330, 0.549604
0.730000, 0.186728, 0.483809, 0.546288
0.740000, 0.191594, 0.489255, 0.542968
0.750000, 0.196513, 0.494669, 0.539644
0.760000, 0.201487, 0.500048, 0.536315
0.770000, 0.206514, 0.505395, 0.532983
0.780000, 0.211595, 0.510708, 0.529646
0.790000, 0.216728, 0.515988, 0.526306
0.800000, 0.221914, 0.521234, 0.522963
0.810000, 0.227153, 0.526447, 0.519615
0.820000, 0.232443, 0.531626, 0.516265
0.830000, 0.237785, 0.536772, 0.512911
0.839999, 0.243179, 0.541885, 0.509555
0.849999, 0.248623, 0.546963, 0.506195
0.859999, 0.254118, 0.552009, 0.502833
0.869999, 0.259663, 0.557020, 0.499468
0.879999, 0.265258, 0.561998, 0.496100
0.889999, 0.270903, 0.566942, 0.492731
0.899999, 0.276597, 0.571852, 0.489359
0.909999, 0.282340, 0.576729, 0.485986
0.919999, 0.288131, 0.581572, 0.482611
0.929999, 0.293971, 0.586381, 0.479234
0.939999, 0.299859, 0.591157, 0.475856
0.949999, 0.305794, 0.595899, 0.472477
0.959999, 0.311777, 0.600606, 0.469097
0.969999, 0.317806, 0.605280, 0.465717
0.979999, 0.323882, 0.609921, 0.462335
0.989999, 0.330004, 0.614527, 0.458954
0.999999, 0.336173, 0.619100, 0.455572
1.009999, 0.342386, 0.623639, 0.452191
1.019999, 0.348645, 0.628144, 0.448809
1.029999, 0.354949, 0.632615, 0.445429
1.039999, 0.361297, 0.637052, 0.442049
1.049999, 0.367690, 0.641456, 0.438669
1.059999, 0.374126, 0.645826, 0.435292
1.069999, 0.380606, 0.650162, 0.431915
1.079999, 0.387130, 0.654464, 0.428540
1.089999, 0.393696, 0.658732, 0.425167
1.099999, 0.400304, 0.662967, 0.421796
1.109999, 0.406955, 0.667168, 0.418427
1.119999, 0.413647, 0.671336, 0.415061
1.129999, 0.420381, 0.675470, 0.411698
1.139999, 0.427157, 0.679570, 0.408337
1.149999, 0.433973, 0.683636, 0.404980
1.159999, 0.440829, 0.687669, 0.401626
1.169999, 0.447726, 0.691669, 0.398277
1.179999, 0.454662, 0.695635, 0.394931
1.189999, 0.461639, 0.699567, 0.391589
1.199999, 0.468654, 0.703467, 0.388252
1.209999, 0.475708, 0.707333, 0.384919
1.219999, 0.482800, 0.711165, 0.381591
1.229999, 0.489931, 0.714964, 0.378269
1.239999, 0.497099, 0.718731, 0.374952
1.249999, 0.504305, 0.722463, 0.371641
1.259999, 0.511549, 0.726163, 0.368336
1.269999, 0.518829, 0.729830, 0.365036
1.279999, 0.526145, 0.733464, 0.361744
1.289999, 0.533498, 0.737065, 0.358458
1.299999, 0.540886, 0.740633, 0.355179
1.309999, 0.548310, 0.744169, 0.351907
1.319999, 0.555770, 0.747672, 0.348642
1.329999, 0.563264, 0.751142, 0.345386
1.339999, 0.570792, 0.754579, 0.342137
1.349999, 0.578355, 0.757984, 0.338896
1.359999, 0.585952, 0.761357, 0.335664
1.369999, 0.593582, 0.764698, 0.332441
1.379999, 0.601246, 0.768006, 0.329226
1.389999, 0.608942, 0.771282, 0.326021
1.399999, 0.616671, 0.774527, 0.322825
1.409999, 0.624432, 0.777739, 0.319639
1.419999, 0.632226, 0.780919, 0.316462
1.429999, 0.640051, 0.784068, 0.313296
1.439999, 0.647907, 0.787185, 0.310141
1.449999, 0.655794, 0.790271, 0.306996
1.459999, 0.663712, 0.793325, 0.303861
1.469999, 0.671661, 0.796348, 0.300738
1.479999, 0.679639, 0.799340, 0.297627
1.489999, 0.687647, 0.802301, 0.294526
1.499999, 0.695685, 0.805231, 0.291438
1.509999, 0.703752, 0.808130, 0.288362
1.519999, 0.711848, 0.810998, 0.285298
1.529999, 0.719972, 0.813836, 0.282247
1.539999, 0.728124, 0.816643, 0.279208
1.549999, 0.736305, 0.819420, 0.276182
1.559999, 0.744512, 0.822167, 0.273169
1.569999, 0.752748, 0.824883, 0.270170
1.579999, 0.761010, 0.827570, 0.267185
1.589999, 0.769299, 0.830227, 0.264213
1.599999, 0.777614, 0.832854, 0.261255
1.609999, 0.785956, 0.835452, 0.258312
1.619999, 0.794323, 0.838021, 0.255383
1.629999, 0.802716, 0.840560, 0.252468
1.639999, 0.811135, 0.843070, 0.249569
1.649999, 0.819578, 0.845551, 0.246684
1.659999, 0.828045, 0.848004, 0.243815
1.669999, 0.836538, 0.850428, 0.240961
1.679999, 0.845054, 0.852823, 0.238123
