x, z_0, z_1, z_2
0.000000, 0.000000, 0.000000, 0.927698
0.010000, 0.000046, 0.009252, 0.922698
0.020000, 0.000185, 0.018454, 0.917698
0.030000, 0.000415, 0.027606, 0.912698
0.040000, 0.000737, 0.036708, 0.907698
0.050000, 0.001149, 0.045760, 0.902698
0.060000, 0.001652, 0.054762, 0.897698
0.070000, 0.002244, 0.063714, 0.892698
0.080000, 0.002926, 0.072616, 0.887698
0.090000, 0.003696, 0.081468, 0.882699
0.100000, 0.004555, 0.090270, 0.877700
0.110000, 0.005502, 0.099022, 0.872701
0.120000, 0.006535, 0.107724, 0.867702
0.130000, 0.007656, 0.116376, 0.862703
0.140000, 0.008863, 0.124978, 0.857705
0.150000, 0.010155, 0.133530, 0.852707
0.160000, 0.011533, 0.142032, 0.847710
0.170000, 0.012996, 0.150484, 0.842714
0.180000, 0.014543, 0.158886, 0.837718
0.190000, 0.016173, 0.167239, 0.832722
0.200000, 0.017887, 0.175541, 0.827728
0.210000, 0.019684, 0.183793, 0.822734
0.220000, 0.021563, 0.191995, 0.817742
0.230000, 0.023524, 0.200148, 0.812750
0.240000, 0.025566, 0.208250, 0.807760
0.250000, 0.027689, 0.216303, 0.802771
0.260000, 0.029892, 0.224306, 0.797783
0.270000, 0.032175, 0.232259, 0.792797
0.280000, 0.034537, 0.240162, 0.787813
0.290000, 0.036978, 0.248015, 0.782830
0.300000, 0.039497, 0.255818, 0.777849
0.310000, 0.042094, 0.263572, 0.772870
0.320000, 0.044768, 0.271276, 0.767893
0.330000, 0.047519, 0.278930, 0.762918
0.340000, 0.050347, 0.286534, 0.757946
0.350000, 0.053250, 0.294089, 0.752976
0.360000, 0.056228, 0.301594, 0.748009
0.370000, 0.059281, 0.309049, 0.743045
0.380000, 0.062409, 0.316455, 0.738083
0.390000, 0.065610, 0.323811, 0.733125
0.400000, 0.068885, 0.331117, 0.728170
0.410000, 0.072233, 0.338374, 0.723218
0.420000, 0.075652, 0.345581, 0.718270
0.430000, 0.079144, 0.352739, 0.713326
0.440000, 0.082707, 0.359848, 0.708385
0.450000, 0.086341, 0.366907, 0.703449
0.460000, 0.090045, 0.373917, 0.698517
0.470000, 0.093819, 0.380877, 0.693589
0.480000, 0.097662, 0.387789, 0.688666
0.490000, 0.101575, 0.394651, 0.683748
0.500000, 0.105555, 0.401464, 0.678835
0.510000, 0.109604, 0.408228, 0.673927
0.520000, 0.113720, 0.414942, 0.669024
0.530000, 0.117902, 0.421608, 0.664127
0.540000, 0.122152, 0.428225, 0.659235
0.550000, 0.126467, 0.434793, 0.654350
0.560000, 0.130847, 0.441312, 0.649471
0.570000, 0.135293, 0.447782, 0.644598
0.580000, 0.139803, 0.454204, 0.639732
0.590000, 0.144377, 0.460577, 0.634872
0.600000, 0.149014, 0.466901, 0.630020
0.610000, 0.153715, 0.473177, 0.625175
0.620000, 0.158478, 0.479405, 0.620337
0.630000, 0.163302, 0.485584, 0.615507
0.640000, 0.168189, 0.491715, 0.610685
0.650000, 0.173137, 0.497798, 0.605871
0.660000, 0.178145, 0.503833, 0.601065
0.670000, 0.183213, 0.509819, 0.596268
0.680000, 0.188341, 0.515758, 0.591479
0.690000, 0.193528, 0.521649, 0.586700
0.700000, 0.198774, 0.527492, 0.581930
0.710000, 0.204078, 0.533287, 0.577169
0.720000, 0.209439, 0.539035, 0.572418
0.730000, 0.214858, 0.544736, 0.567677
0.740000, 0.220334, 0.550389, 0.562946
0.750000, 0.225866, 0.555995, 0.558226
0.760000, 0.231454, 0.561553, 0.553516
0.770000, 0.237097, 0.567065, 0.548817
0.780000, 0.242795, 0.572530, 0.544129
0.790000, 0.248547, 0.577948, 0.539453
0.800000, 0.254354, 0.583319, 0.534788
0.810000, 0.260214, 0.588643, 0.530135
0.820000, 0.266126, 0.593922, 0.525494
0.830000, 0.272092, 0.599153, 0.520865
0.839999, 0.278109, 0.604339, 0.516249
0.849999, 0.284178, 0.609478, 0.511646
0.859999, 0.290299, 0.614572, 0.507056
0.869999, 0.296470, 0.619620, 0.502479
0.879999, 0.302691, 0.624622, 0.497916
0.889999, 0.308962, 0.629578, 0.493367
0.899999, 0.315282, 0.634489, 0.488831
0.909999, 0.321652, 0.639355, 0.484310
0.919999, 0.328069, 0.644175, 0.479804
0.929999, 0.334535, 0.648951, 0.475312
0.939999, 0.341048, 0.653682, 0.470835
0.949999, 0.347609, 0.658368, 0.466373
0.959999, 0.354215, 0.663009, 0.461927
0.969999, 0.360869, 0.667606, 0.457497
0.979999, 0.367567, 0.672159, 0.453082
0.989999, 0.374312, 0.676668, 0.448684
0.999999, 0.381101, 0.681133, 0.444302
1.009999, 0.387934, 0.685554, 0.439937
1.019999, 0.394812, 0.689932, 0.435589
1.029999, 0.401733, 0.694266, 0.431258
1.039999, 0.408697, 0.698557, 0.426944
1.049999, 0.415704, 0.702805, 0.422648
1.059999, 0.422753, 0.707010, 0.418369
