x, z_0, z_1, z_2
0.000000, 0.000000, 0.000000, 0.732239
0.010000, 0.000037, 0.007310, 0.729739
0.020000, 0.000146, 0.014595, 0.727238
0.030000, 0.000328, 0.021855, 0.724738
0.040000, 0.000583, 0.029090, 0.722236
0.050000, 0.000910, 0.036299, 0.719733
0.060000, 0.001309, 0.043484, 0.717229
0.070000, 0.001780, 0.050644, 0.714724
0.080000, 0.002322, 0.057779, 0.712217
0.090000, 0.002935, 0.064888, 0.709707
0.100000, 0.003620, 0.071973, 0.707196
0.110000, 0.004375, 0.079032, 0.704682
0.120000, 0.005200, 0.086066, 0.702166
0.130000, 0.006096, 0.093075, 0.699646
0.140000, 0.007061, 0.100059, 0.697123
0.150000, 0.008097, 0.107018, 0.694598
0.160000, 0.009202, 0.113951, 0.692068
0.170000, 0.010376, 0.120859, 0.689535
0.180000, 0.011619, 0.127742, 0.686998
0.190000, 0.012931, 0.134599, 0.684457
0.200000, 0.014311, 0.141431, 0.681912
0.210000, 0.015759, 0.148237, 0.679362
0.220000, 0.017275, 0.155018, 0.676807
0.230000, 0.018859, 0.161774, 0.674248
0.240000, 0.020511, 0.168503, 0.671684
0.250000, 0.022229, 0.175207, 0.669114
0.260000, 0.024015, 0.181886, 0.666540
0.270000, 0.025867, 0.188538, 0.663960
0.280000, 0.027786, 0.195165, 0.661374
0.290000, 0.029770, 0.201765, 0.658782
0.300000, 0.031821, 0.208340, 0.656185
0.310000, 0.033937, 0.214889, 0.653582
0.320000, 0.036118, 0.221412, 0.650972
0.330000, 0.038365, 0.227909, 0.648357
0.340000, 0.040677, 0.234379, 0.645735
0.350000, 0.043053, 0.240823, 0.643106
0.360000, 0.045493, 0.247241, 0.640471
0.370000, 0.047997, 0.253633, 0.637829
0.380000, 0.050565, 0.259998, 0.635180
0.390000, 0.053197, 0.266336, 0.632524
0.400000, 0.055892, 0.272648, 0.629862
0.410000, 0.058650, 0.278933, 0.627192
0.420000, 0.061471, 0.285192, 0.624515
0.430000, 0.064354, 0.291424, 0.621831
0.440000, 0.067299, 0.297629, 0.619139
0.450000, 0.070306, 0.303806, 0.616440
0.460000, 0.073375, 0.309957, 0.613734
0.470000, 0.076505, 0.316081, 0.611020
0.480000, 0.079697, 0.322178, 0.608299
0.490000, 0.082949, 0.328247, 0.605569
0.500000, 0.086262, 0.334289, 0.602833
0.510000, 0.089635, 0.340304, 0.600088
0.520000, 0.093067, 0.346291, 0.597336
0.530000, 0.096560, 0.352250, 0.594576
0.540000, 0.100112, 0.358182, 0.591808
0.550000, 0.103724, 0.364086, 0.589032
0.560000, 0.107394, 0.369963, 0.586249
0.570000, 0.111123, 0.375811, 0.583458
0.580000, 0.114910, 0.381632, 0.580658
0.590000, 0.118755, 0.387425, 0.577851
0.600000, 0.122659, 0.393189, 0.575036
0.610000, 0.126619, 0.398925, 0.572214
0.620000, 0.130637, 0.404633, 0.569383
0.630000, 0.134712, 0.410313, 0.566545
0.640000, 0.138843, 0.415964, 0.563698
0.650000, 0.143031, 0.421587, 0.560844
0.660000, 0.147275, 0.427181, 0.557983
0.670000, 0.151574, 0.432746, 0.555113
0.680000, 0.155930, 0.438283, 0.552236
0.690000, 0.160340, 0.443791, 0.549352
0.700000, 0.164805, 0.449270, 0.546459
0.710000, 0.169325, 0.454720, 0.543560
0.720000, 0.173900, 0.460141, 0.540653
0.730000, 0.178528, 0.465533, 0.537738
0.740000, 0.183210, 0.470896, 0.534816
0.750000, 0.187946, 0.476230, 0.531887
0.760000, 0.192735, 0.481534, 0.528951
0.770000, 0.197576, 0.486809, 0.526008
0.780000, 0.202471, 0.492054, 0.523057
0.790000, 0.207417, 0.497270, 0.520100
0.800000, 0.212416, 0.502456, 0.517136
0.810000, 0.217466, 0.507612, 0.514165
0.820000, 0.222568, 0.512739, 0.511188
0.830000, 0.227721, 0.517836, 0.508205
0.839999, 0.232925, 0.522903, 0.505214
0.849999, 0.238179, 0.527941, 0.502218
0.859999, 0.243484, 0.532948, 0.499216
0.869999, 0.248838, 0.537925, 0.496207
0.879999, 0.254242, 0.542872, 0.493193
0.889999, 0.259695, 0.547789, 0.490173
0.899999, 0.265198, 0.552675, 0.487148
0.909999, 0.270749, 0.557532, 0.484117
0.919999, 0.276348, 0.562358, 0.481080
0.929999, 0.281996, 0.567153, 0.478039
0.939999, 0.287691, 0.571918, 0.474993
0.949999, 0.293434, 0.576653, 0.471941
0.959999, 0.299224, 0.581357, 0.468886
0.969999, 0.305061, 0.586031, 0.465825
0.979999, 0.310945, 0.590674, 0.462761
0.989999, 0.316874, 0.595286, 0.459692
0.999999, 0.322850, 0.599868, 0.456619
1.009999, 0.328872, 0.604418, 0.453543
1.019999, 0.334938, 0.608938, 0.450463
1.029999, 0.341050, 0.613428, 0.447379
1.039999, 0.347207, 0.617886, 0.444293
1.049999, 0.353408, 0.622313, 0.441203
1.059999, 0.359653, 0.626710, 0.438111
1.069999, 0.365942, 0.631076, 0.435016
1.079999, 0.372274, 0.635410, 0.431918
1.089999, 0.378650, 0.639714, 0.428819
1.099999, 0.385069, 0.643987, 0.425717
