x, z_0, z_1, z_2
0.000000, 0.000000, 0.000000, 0.891760
0.010000, 0.000045, 0.008895, 0.887260
0.020000, 0.000178, 0.017745, 0.882760
0.030000, 0.000399, 0.026550, 0.878260
0.040000, 0.000709, 0.035310, 0.873759
0.050000, 0.001105, 0.044025, 0.869259
0.060000, 0.001589, 0.052696, 0.864758
0.070000, 0.002159, 0.061321, 0.860256
0.080000, 0.002815, 0.069901, 0.855754
0.090000, 0.003557, 0.078436, 0.851252
0.100000, 0.004384, 0.086926, 0.846749
0.110000, 0.005295, 0.095371, 0.842246
0.120000, 0.006291, 0.103771, 0.837742
0.130000, 0.007371, 0.112126, 0.833237
0.140000, 0.008533, 0.120435, 0.828732
0.150000, 0.009779, 0.128700, 0.824226
0.160000, 0.011107, 0.136920, 0.819720
0.170000, 0.012517, 0.145095, 0.815213
0.180000, 0.014009, 0.153224, 0.810705
0.190000, 0.015582, 0.161309, 0.806197
0.200000, 0.017235, 0.169348, 0.801688
0.210000, 0.018969, 0.177342, 0.797179
0.220000, 0.020782, 0.185292, 0.792669
0.230000, 0.022674, 0.193196, 0.788158
0.240000, 0.024646, 0.201055, 0.783647
0.250000, 0.026695, 0.208869, 0.779136
0.260000, 0.028823, 0.216638, 0.774624
0.270000, 0.031028, 0.224361, 0.770112
0.280000, 0.033310, 0.232040, 0.765599
0.290000, 0.035668, 0.239673, 0.761086
0.300000, 0.038103, 0.247262, 0.756573
0.310000, 0.040613, 0.254805, 0.752060
0.320000, 0.043199, 0.262303, 0.747547
0.330000, 0.045859, 0.269756, 0.743033
0.340000, 0.048594, 0.277163, 0.738520
0.350000, 0.051403, 0.284526, 0.734007
0.360000, 0.054284, 0.291844, 0.729494
0.370000, 0.057239, 0.299116, 0.724982
0.380000, 0.060267, 0.306343, 0.720470
0.390000, 0.063366, 0.313525, 0.715958
0.400000, 0.066537, 0.320662, 0.711447
0.410000, 0.069779, 0.327754, 0.706937
0.420000, 0.073092, 0.334801, 0.702427
0.430000, 0.076475, 0.341803, 0.697919
0.440000, 0.079928, 0.348759, 0.693411
0.450000, 0.083450, 0.355671, 0.688905
0.460000, 0.087041, 0.362538, 0.684400
0.470000, 0.090701, 0.369359, 0.679897
0.480000, 0.094428, 0.376135, 0.675395
0.490000, 0.098223, 0.382867, 0.670894
0.500000, 0.102085, 0.389553, 0.666396
0.510000, 0.106014, 0.396195, 0.661900
0.520000, 0.110009, 0.402791, 0.657405
0.530000, 0.114070, 0.409343, 0.652914
0.540000, 0.118196, 0.415850, 0.648424
0.550000, 0.122387, 0.422311, 0.643937
0.560000, 0.126642, 0.428728, 0.639453
0.570000, 0.130961, 0.435101, 0.634972
0.580000, 0.135344, 0.441428, 0.630494
0.590000, 0.139789, 0.447710, 0.626019
0.600000, 0.144298, 0.453948, 0.621548
0.610000, 0.148868, 0.460141, 0.617080
0.620000, 0.153500, 0.466290, 0.612616
0.630000, 0.158194, 0.472394, 0.608156
0.640000, 0.162948, 0.478453, 0.603700
0.650000, 0.167763, 0.484468, 0.599249
0.660000, 0.172637, 0.490438, 0.594802
0.670000, 0.177571, 0.496364, 0.590360
0.680000, 0.182564, 0.502245, 0.585923
0.690000, 0.187616, 0.508082, 0.581491
0.700000, 0.192726, 0.513875, 0.577064
0.710000, 0.197893, 0.519624, 0.572643
0.720000, 0.203118, 0.525328, 0.568228
0.730000, 0.208400, 0.530988, 0.563819
