x, z_0, z_1, z_2
1.379999, 0.619687, 0.782821, 0.319384
1.389999, 0.627531, 0.785999, 0.316057
1.399999, 0.635407, 0.789143, 0.312742
1.409999, 0.643314, 0.792253, 0.309442
1.419999, 0.651252, 0.795331, 0.306155
1.429999, 0.659221, 0.798377, 0.302882
1.439999, 0.667220, 0.801389, 0.299623
1.449999, 0.675248, 0.804369, 0.296379
1.459999, 0.683307, 0.807317, 0.293150
1.469999, 0.691395, 0.810232, 0.289935
1.479999, 0.699511, 0.813115, 0.286736
1.489999, 0.707657, 0.815967, 0.283552
1.499999, 0.715831, 0.818787, 0.280384
1.509999, 0.724032, 0.821575, 0.277231
1.519999, 0.732262, 0.824331, 0.274094
1.529999, 0.740519, 0.827057, 0.270973
1.539999, 0.748803, 0.829751, 0.267869
1.549999, 0.757114, 0.832414, 0.264781
1.559999, 0.765451, 0.835046, 0.261710
1.569999, 0.773815, 0.837648, 0.258656
1.579999, 0.782204, 0.840220, 0.255619
1.589999, 0.790619, 0.842761, 0.252599
1.599999, 0.799059, 0.845272, 0.249596
1.609999, 0.807524, 0.847753, 0.246611
1.619999, 0.816014, 0.850204, 0.243644
1.629999, 0.824528, 0.852626, 0.240695
1.639999, 0.833066, 0.855018, 0.237764
1.649999, 0.841628, 0.857381, 0.234851
1.659999, 0.850214, 0.859715, 0.231957
1.669999, 0.858823, 0.862020, 0.229081
1.679999, 0.867454, 0.864297, 0.226223
1.689999, 0.876108, 0.866545, 0.223385
1.699999, 0.884785, 0.868764, 0.220565
1.709999, 0.893484, 0.870956, 0.217765
1.719999, 0.902204, 0.873120, 0.214984
1.729999, 0.910946, 0.875256, 0.212222
1.739999, 0.919709, 0.877364, 0.209480
1.749999, 0.928493, 0.879445, 0.206758
1.759999, 0.937298, 0.881499, 0.204055
1.769999, 0.946123, 0.883527, 0.201372
1.779999, 0.954968, 0.885527, 0.198709
1.789999, 0.963834, 0.887501, 0.196066
1.799999, 0.972718, 0.889448, 0.193443
1.809999, 0.981622, 0.891370, 0.190840
1.819999, 0.990546, 0.893265, 0.188258
1.829999, 0.999488, 0.895135, 0.185696
